Old typology,New typology
F026. Enumeración de usuarios: SVP,026. User enumeration
F026. User enumeration,026. User enumeration
F026. User enumeration - SSH,026. User enumeration
F026. Users enumeration,026. User enumeration
F027.  Insecure file upload,027. Insecure file upload
F027. Carga de archivos insegura,027. Insecure file upload
F027. Carga insegura de archivo - Reemplazo de archivos,027. Insecure file upload
F027. Carga insegura de archivos,027. Insecure file upload
F027. Carga insegura de archivos - Bucket S3,027. Insecure file upload
F027. Carga insegura de archivos - Cantidad de archivos,027. Insecure file upload
F027. Carga insegura de archivos - codificación Base64,027. Insecure file upload
F027. Carga insegura de archivos - Codificación Base64,027. Insecure file upload
F027. Carga insegura de archivos - S3 Bucket,027. Insecure file upload
F027. Insecure file upload,027. Insecure file upload
F027. Unsafe file upload,027. Insecure file upload
F028. Archivos temporales inseguros,028. Insecure temporary files
F028. Archivos temporales inseguros - Secretos en archivos,028. Insecure temporary files
F028. Insecure temporary files,028. Insecure temporary files
F029. Control inadecuado de tamaño de archivos,029. Inadequate file size control
F029. Inadequate file size control,029. Inadequate file size control
F030. Información sensible enviada mediante parámetros URL,030. Sensitive information sent via URL parameters
F030. Parameters sent by URL,030. Sensitive information sent via URL parameters
F030. Parámetros enviados por URL,030. Sensitive information sent via URL parameters
F030. Parámetros enviados por URL -  PowerBI,030. Sensitive information sent via URL parameters
F030. Parámetros enviados por URL - Apikey,030. Sensitive information sent via URL parameters
F030. Parámetros enviados por URL - Checksum,030. Sensitive information sent via URL parameters
F030. Sensitive information sent via URL parameters,030. Sensitive information sent via URL parameters
F031. Excessive privileges,031. Excessive privileges - AWS
F031. Excessive privileges - AWS,031. Excessive privileges - AWS
F031. Excessive privileges - Modify content as Reviewer,031. Excessive privileges - AWS
F031. Excessive privileges - Reject findings,031. Excessive privileges - AWS
F031. Excessive privileges - Temporary files,031. Excessive privileges - AWS
F031. Permisos de aplicación innecesarios,031. Excessive privileges - AWS
F031. Permisos excesivos,031. Excessive privileges - AWS
F031. Permisos excesivos  - AWS,031. Excessive privileges - AWS
F031. Permisos excesivos - Archivos temporales,031. Excessive privileges - AWS
F031. Permisos excesivos - AWS,031. Excessive privileges - AWS
F031. Permisos excesivos - AWS IAM,031. Excessive privileges - AWS
F031. Permisos excesivos - Mesa de ayuda,031. Excessive privileges - AWS
F031. Permisos excesivos - Token de Sesión,031. Excessive privileges - AWS
FIN.S.0055. Configuración insegura del servicio,055. Insecure service configuration - ADB Backups
F031. Permisos excesivos - Uso no autorizado de recursos,031. Excessive privileges - AWS
F031. Permisos excesivos - Usuario inicial,031. Excessive privileges - AWS
F031. Permisos excesivos - Usuario root,031. Excessive privileges - AWS
F031. Permisos excesivos - Usuarios,031. Excessive privileges - AWS
F032. Spoofing - Email Spoofing,032. Spoofing
F032. Suplantación de identidad,032. Spoofing
F032. Suplantación de identidad (spoofing),032. Spoofing
F032. Suplantación de identidad (spoofing) - Chat,032. Spoofing
F032. Suplantación de usuario,032. Spoofing
F032. User impersonation,032. Spoofing
F033. Cambio de contraseña sin verificar,033. Password change without identity check
F033. Cambio de contraseña sin verificar - mismo-usuario,033. Password change without identity check
F033. Password change without identity check,033. Password change without identity check
F033. Unchecked Password Changing,033. Password change without identity check
F034. Generación de números aleatorios inseguros,034. Insecure generation of random numbers
F034. Generación de números aleatorios inseguros - Encripción,034. Insecure generation of random numbers
F034. Generación de números aleatorios inseguros - iv -AES,034. Insecure generation of random numbers
F034. Generación de números aleatorios inseguros - Vector de inicialización,034. Insecure generation of random numbers
F034. Generación de números aleatorios inseguros- IV-AES,034. Insecure generation of random numbers
F034. Insecure generation of random numbers,034. Insecure generation of random numbers
F034. Insecure random number generation,034. Insecure generation of random numbers
F034. Insecure Random Number Generator,034. Insecure generation of random numbers
F035. Política de credenciales débil,035. Weak credential policy
F035. Política de credenciales débiles,035. Weak credential policy
F035. Política de credenciales débiles - Cambio Contraseña,035. Weak credential policy
F035. Política de credenciales débiles - Código de seguridad reusable,035. Weak credential policy
F035. Política de credenciales débiles - Código de verificación,035. Weak credential policy
F035. Política de credenciales débiles - Código fuente,035. Weak credential policy
F035. Política de credenciales débiles - Código OTP,035. Weak credential policy
F035. Política de credenciales débiles - Disk encryption,035. Weak credential policy
F035. Política de credenciales débiles - Frecuencia de cambio,035. Weak credential policy
F035. Política de credenciales débiles - IAM,035. Weak credential policy
F035. Política de credenciales débiles - Longitud OTP,035. Weak credential policy
F035. Política de credenciales débiles - OracleDB,035. Weak credential policy
F035. Política de credenciales débiles -Información permitida en contraseña,035. Weak credential policy
F035. Weak credential policy,035. Weak credential policy
F035. Weak credentials policy,035. Weak credential policy
F035. Weak password policy,035. Weak credential policy
F036. ViewState no cifrado,036. ViewState not encrypted
F037. Fuga de información técnica,037. Technical information leak
F037. Fuga de información técnica  - Angular,037. Technical information leak
F037. Fuga de información técnica  - Console.log,037. Technical information leak
F037. Fuga de información técnica  - Console.log(),037. Technical information leak
F037. Fuga de información técnica  - Función Print,037. Technical information leak
F037. Fuga de información técnica  - Funciones Print,037. Technical information leak
F037. Fuga de información técnica  - PrintStackTrace,037. Technical information leak
F037. Fuga de información técnica  - PrintStacktrace,037. Technical information leak
F037. Fuga de información técnica  - Server,037. Technical information leak
F037. Fuga de información técnica  - SourceMap,037. Technical information leak
F037. Fuga de información técnica -  Angular,037. Technical information leak
F037. Fuga de información técnica -  chat-control.js,037. Technical information leak
F037. Fuga de información técnica -  Console.log,037. Technical information leak
F037. Fuga de información técnica -  Documentación API,037. Technical information leak
F037. Fuga de información técnica -  Listado de Directorios,037. Technical information leak
F037. Fuga de información técnica -  printStackTrace(),037. Technical information leak
F037. Fuga de información técnica -  Sourcemap,037. Technical information leak
F037. Fuga de información técnica - ALB,037. Technical information leak
F037. Fuga de información técnica - alert,037. Technical information leak
F037. Fuga de información técnica - Android,037. Technical information leak
F037. Fuga de información técnica - Angular,037. Technical information leak
F037. Fuga de información técnica - Apache Tomcat,037. Technical information leak
F037. Fuga de información técnica - Apps,037. Technical information leak
F037. Fuga de información técnica - Archivos,037. Technical information leak
F037. Fuga de información técnica - Archivos PHP,037. Technical information leak
F037. Fuga de información técnica - Cabeceras,037. Technical information leak
F037. Fuga de información técnica - cabeceras,037. Technical information leak
F037. Fuga de información técnica - Código,037. Technical information leak
F037. Fuga de información técnica - Código fuente,037. Technical information leak
F037. Fuga de información técnica - Console,037. Technical information leak
F037. Fuga de información técnica - console - print,037. Technical information leak
F037. Fuga de información técnica - console.err,037. Technical information leak
F037. Fuga de información técnica - console.error,037. Technical information leak
